year,zhvi_weighted
2001,633417.5202420753
2002,635095.3836920053
2003,678314.9567703957
2004,723614.7875565581
2005,854618.5035898887
2006,957098.9319068067
2007,939831.2135594509
2008,963021.2020439962
2009,868795.1031161493
2010,802081.5226000753
2011,778743.5373827388
2012,749992.707138536
2013,879684.7436364306
2014,1016273.3587951381
2015,1129922.7416658842
2016,1303104.4560198528
2017,1276757.2403080137
2018,1373807.8051131994
2019,1442888.258674029
