,fips,county,zhvi_weighted,population_growth,population,All industry total_growth,unemployment_rate,unemployment_rate_growth,predicted_3yr_appreciation
1965,53037,"Kittitas, WA",199796.29294513515,1.0670718133653891,47935,1.2031495836887842,5.4,0.9152542372881356,1.4943945
1810,48147,"Fannin, TX",207295.7226208204,1.0465918132791088,35514,1.278153361796276,2.7,0.7105263157894738,1.4939325
70,4015,"Mohave, AZ",199051.67954697207,1.0329532841314042,212181,1.1322121598285944,5.9,0.8805970149253731,1.490008
1713,47043,"Dickson, TN",193390.3493550052,1.039460500963391,53948,1.1574880341063123,3.0,0.6818181818181818,1.4887087
505,16027,"Canyon, ID",264532.5154014217,1.0873683065176152,229849,1.2742173646685349,3.0,0.7142857142857143,1.487838
459,13247,"Rockdale, GA",183305.1892996096,1.0214525717239598,90896,1.1323747409575755,3.9,0.6610169491525423,1.4878281
509,16045,"Gem, ID",484312.0,1.067987499262928,18112,1.2326123582174553,3.1,0.6888888888888889,1.4861665
1977,53063,"Spokane, WA",262445.1579456238,1.0521424302007087,522798,1.2440858510320325,5.2,0.8666666666666667,1.4852136
311,12083,"Marion, FL",166015.18063504822,1.052119757445988,365579,1.148118818608023,4.0,0.6779661016949152,1.4851687
1964,53035,"Kitsap, WA",392151.0931411083,1.0316597122466198,271473,1.2090059830247375,4.5,0.8181818181818182,1.4840667
1868,49035,"Salt Lake, UT",387428.9491918026,1.0360036389315683,1160437,1.2126957303182857,2.4,0.7741935483870968,1.4838877
1974,53057,"Skagit, WA",388226.4069768797,1.0453225245341942,129205,1.2215967707007134,5.4,0.84375,1.4830382
510,16051,"Jefferson, ID",217110.16872452362,1.0733381243262663,29871,1.336943279148343,2.2,0.7333333333333334,1.481926
315,12089,"Nassau, FL",274809.4000801814,1.1070514021610145,88625,1.2391972144649863,3.1,0.6888888888888889,1.4814334
1755,47127,"Moore, TN",154396.63171003954,1.0309868107420943,6488,2.0570273528925034,2.9,0.7631578947368421,1.4795537
484,13297,"Walton, GA",209554.4149702288,1.0535384135611343,94593,1.175660928306821,3.2,0.64,1.476817
444,13217,"Newton, GA",185420.72215636182,1.0492492887257157,111744,1.2235595720775732,4.0,0.6557377049180328,1.4754384
297,12055,"Highlands, FL",140732.52723580663,1.0409639262649326,106221,1.1632822955372684,4.8,0.7272727272727273,1.4741285
1972,53053,"Pierce, WA",366128.50646891724,1.048771866797235,904980,1.215519801909651,5.1,0.8644067796610169,1.4739339
441,13211,"Morgan, GA",226238.30739758327,1.064560667145303,19276,1.217413664086629,3.2,0.627450980392157,1.4727619
343,13011,"Banks, GA",150297.2636723941,1.0496043656207368,19234,1.1444165697206636,2.8,0.5714285714285714,1.4727175
1953,53005,"Benton, WA",208396.9961389193,1.0563118236224378,204390,1.1684513489519115,5.2,0.8387096774193549,1.4708257
404,13135,"Gwinnett, GA",253215.8913328443,1.0345738274093277,936250,1.1261574909998509,3.1,0.6458333333333334,1.4685166
500,16001,"Ada, ID",318063.0766571535,1.0834694456068357,481587,1.2394581659637531,2.4,0.7499999999999999,1.467346
319,12097,"Osceola, FL",228121.9309837073,1.1110023683580272,375751,1.1873511951912352,3.5,0.7,1.4673442
1838,48291,"Liberty, TX",169790.53007715242,1.0843842957936918,88219,1.2424641663681832,5.0,0.6666666666666666,1.4671738
451,13231,"Pike, GA",156976.5927760578,1.0595071799742974,18962,1.1466891457070842,3.1,0.5961538461538461,1.4646425
1832,48251,"Johnson, TX",258481.7127766452,1.0802025030258722,175817,1.1909654358951918,3.2,0.7272727272727273,1.4634843
449,13227,"Pickens, GA",239218.58703913967,1.0632585149419287,32591,1.155522191846308,3.1,0.6326530612244897,1.4631724
398,13123,"Gilmer, GA",214226.5422210285,1.0487446090067198,31369,1.1353390217966437,3.6,0.6206896551724138,1.4627783
1560,41013,"Crook, OR",345438.2576998116,1.0940554111001524,24404,1.2333273645284781,5.1,0.75,1.4626563
1192,32019,"Lyon, NV",293514.7222621831,1.0911264158460925,57510,1.240241638215707,4.8,0.631578947368421,1.4619479
1576,41053,"Polk, OR",313545.1578861307,1.0570877744486469,86085,1.206614526753158,4.0,0.8,1.4612949
514,16073,"Owyhee, ID",306799.0,1.0403907074973602,11823,1.125568994501319,3.2,0.7272727272727273,1.4612246
430,13187,"Lumpkin, GA",212917.030320546,1.069871080693936,33610,1.213184940267113,3.3,0.6734693877551019,1.4583106
324,12107,"Putnam, FL",143967.237971831,1.0296795766376965,74521,1.1310096368740057,4.5,0.703125,1.4556404
1572,41043,"Linn, OR",320126.6309708953,1.0568547434612972,129749,1.1799897829703725,4.3,0.7678571428571429,1.4552352
274,12007,"Bradford, FL",144418.82513639118,1.0546372475691848,28201,1.1427988447545103,3.4,0.7906976744186046,1.4549593
434,13195,"Madison, GA",156332.45298777556,1.0354865539229277,29880,1.1569611555149046,3.2,0.64,1.4547967
1327,37063,"Durham, NC",284690.68291070394,1.0443822159271796,321488,1.155802146887996,3.3,0.7333333333333333,1.4547448
318,12095,"Orange, FL",263777.6055479662,1.0504600019901758,1393452,1.1760260548532475,3.1,0.7045454545454545,1.4538586
1769,47155,"Sevier, TN",190878.83944599828,1.0184513320203172,98250,1.1847272445818005,3.3,0.6599999999999999,1.4528522
1957,53015,"Cowlitz, WA",396905.9304135611,1.055881229711667,110593,1.2140348328568271,5.9,0.8309859154929579,1.4522495
345,13015,"Bartow, GA",198569.6055637666,1.0425787222512533,107738,1.0805951189044491,3.4,0.6538461538461539,1.4515646
1687,45083,"Spartanburg, SC",164646.0219066857,1.0628782817656972,319785,1.200656171130383,2.5,0.5434782608695653,1.4512134
359,13045,"Carroll, GA",163732.8468290036,1.0337276118438623,119992,1.1471856848721416,3.6,0.5901639344262296,1.4505366
1776,47169,"Trousdale, TN",239206.00025812228,1.133500753390256,11284,1.332910293233585,3.0,0.6122448979591836,1.4494228
1870,49051,"Wasatch, UT",380000.0,1.1223374485596709,34091,1.361066960074632,2.7,0.8181818181818182,1.448784
205,6115,"Yuba, CA",258584.95015257306,1.0495783968406447,78668,1.2140288623466178,6.2,0.7209302325581396,1.4462229
275,12009,"Brevard, FL",228709.7450393377,1.043454896563201,601942,1.209873699890656,3.4,0.6538461538461539,1.4459949
1772,47161,"Stewart, TN",123082.16849717515,1.039802880970432,13715,0.8356960104937547,4.4,0.6470588235294118,1.4442239
401,13129,"Gordon, GA",139560.81898387588,1.018091440816398,57963,1.192632918460553,3.5,0.6140350877192983,1.4436278
1978,53065,"Stevens, WA",273105.244898313,1.0358396955211708,45723,1.1972662395690423,7.0,0.8641975308641976,1.4427845
326,12111,"St. Lucie, FL",223498.7930873616,1.0743898208570326,328297,1.162169174387781,4.1,0.7068965517241379,1.4427581
172,6047,"Merced, CA",268756.64918221463,1.03755959765047,277680,1.1778423395453397,8.2,0.7735849056603773,1.4426863
1798,48071,"Chambers, TX",202880.85360427317,1.0914772302865825,43837,1.034765758386842,4.5,0.7377049180327869,1.4423224
392,13111,"Fannin, GA",254489.32060951547,1.0461808884627677,26188,1.2566341488071169,3.4,0.6296296296296295,1.4411291
236,8077,"Mesa, CO",260796.5423032112,1.0298792541539776,154210,1.2006359593655969,3.3,0.6470588235294118,1.439976
316,12091,"Okaloosa, FL",233766.2527925309,1.0533160727941582,210738,1.2007252813317322,2.8,0.6829268292682927,1.4399033
1869,49049,"Utah, UT",373151.8462556671,1.077838275553628,636235,1.2764662788199774,2.3,0.7666666666666666,1.4398474
1747,47111,"Macon, TN",122155.9778484483,1.0540702656383891,24602,1.046892118214399,3.1,0.7045454545454545,1.4391015
1966,53039,"Klickitat, WA",294018.11652733624,1.0535093488678005,22425,1.3052997248801446,5.8,0.8656716417910447,1.4383729
330,12119,"Sumter, FL",205211.7158662199,1.0853297707546166,132420,1.2813994702597022,4.9,0.6805555555555556,1.4375715
283,12027,"DeSoto, FL",124370.23375451265,1.0481588746379809,38001,1.1675558211668664,3.7,0.6981132075471699,1.4350286
416,13159,"Jasper, GA",179749.85746297738,1.0328321348151377,14219,1.1981419279916452,3.2,0.6666666666666667,1.4347992
63,4001,"Apache, AZ",219835.15359227208,1.0070887210882449,71887,1.0691616275362292,10.1,0.8706896551724138,1.4343176
1973,53055,"San Juan, WA",487093.0,1.0780550616224172,17582,1.22020032209759,3.8,0.8260869565217391,1.4333286
1308,37025,"Cabarrus, NC",223191.2837443203,1.0734679303111003,216453,1.1476746015670558,3.5,0.7608695652173914,1.4330043
412,13151,"Henry, GA",173899.11521311814,1.0618616905693177,234561,1.239948134080079,3.7,0.6607142857142858,1.4328856
304,12069,"Lake, FL",232546.04755511772,1.0961593010722188,367118,1.169915690014463,3.4,0.6938775510204079,1.4326735
272,12003,"Baker, FL",175405.74346291885,1.047554152919237,29210,1.1178877681797699,3.3,0.6734693877551019,1.4320344
1380,37175,"Transylvania, NC",318445.0,1.0297068247836374,34385,1.3394789265279552,3.6,0.7346938775510203,1.4309096
1707,47031,"Coffee, TN",164829.50537921008,1.0363606358985642,56520,1.1588952703565654,3.3,0.702127659574468,1.4305704
1971,53051,"Pend Oreille, WA",268674.6908401716,1.0451603076688751,13724,1.0982745673762455,7.9,0.8977272727272727,1.4297335
1712,47041,"DeKalb, TN",142035.51293570382,1.0537955153260643,20490,0.9417538546255506,4.4,0.7857142857142858,1.4296596
182,6069,"San Benito, CA",635465.2852211471,1.060498100464331,62808,1.1902706389765358,5.0,0.7462686567164178,1.4287046
446,13221,"Oglethorpe, GA",144045.21922863994,1.0371805328983144,15259,1.0511864122649273,3.3,0.6734693877551019,1.4280827
1563,41019,"Douglas, OR",213967.46721534774,1.0264900662251657,110980,1.1488774901334466,4.8,0.7741935483870968,1.4272346
1699,47015,"Cannon, TN",142947.49786732008,1.0577976362063994,14678,1.14525751257734,3.1,0.673913043478261,1.4267921
1979,53067,"Thurston, WA",315661.4208293153,1.0614583104992803,290536,1.2184023811483864,4.8,0.8571428571428572,1.4262631
385,13097,"Douglas, GA",185723.46784723442,1.0330288570137791,146343,1.2124988207676108,3.7,0.6607142857142858,1.4262092
1866,48497,"Wise, TX",240958.42814818214,1.0853934675393158,69984,1.0657150627447267,3.2,0.6808510638297872,1.425817
336,12131,"Walton, FL",244161.6384523977,1.1322205408049404,74071,1.244904843647337,3.0,0.6976744186046512,1.42507
1733,47083,"Houston, TN",130023.01530578511,1.0123441550425871,8201,1.201626249238815,4.5,0.6,1.4245496
491,13311,"White, GA",199335.711853934,1.0683363396697656,30798,1.138872396990217,2.8,0.5957446808510638,1.4245232
452,13233,"Polk, GA",118963.9420539868,1.0254602334255805,42613,1.1449109400811377,3.7,0.5967741935483871,1.4236103
1969,53045,"Mason, WA",326220.83760855044,1.0744424061021531,66768,1.2160273672546418,6.3,0.8513513513513513,1.4229848
1331,37071,"Gaston, NC",170294.60631763985,1.0365013710518785,224529,1.1394654399549435,3.8,0.7169811320754716,1.4226127
1693,47003,"Bedford, TN",163817.43102838614,1.0478689768559504,49713,1.0707006641012249,3.7,0.74,1.4224546
1976,53061,"Snohomish, WA",514428.837577904,1.0444321632300442,822083,1.1791327100823974,2.8,0.6666666666666666,1.4214268
1809,48143,"Erath, TX",273847.0081855389,1.03205066228367,42698,1.2590538936858042,3.2,0.7804878048780489,1.4210136
226,8049,"Grand, CO",494343.20728057687,1.0365636734962778,15734,1.2602567759592291,2.1,0.8076923076923077,1.4205643
397,13121,"Fulton, GA",355521.37413884274,1.0401528645980995,1063937,1.1785969099358964,3.6,0.6545454545454545,1.4189852
393,13113,"Fayette, GA",248926.45375139735,1.0287992950781348,114421,1.221598509211848,3.1,0.6458333333333334,1.4188883
1735,47087,"Jackson, TN",149573.44412261905,1.0150719145637757,11786,1.0775791329391025,4.6,0.6571428571428571,1.4183292
1579,41071,"Yamhill, OR",367496.3777415127,1.0291150187373883,107100,1.1625853969692272,3.4,0.7555555555555555,1.4182866
1955,53011,"Clark, WA",376180.9456450705,1.0493668219879984,488241,1.2722063113377788,4.7,0.7833333333333333,1.417863
244,8093,"Park, CO",351979.79536630114,1.086605546906533,18845,1.2999156069027733,2.4,0.8888888888888888,1.4177322
406,13139,"Hall, GA",230919.2305311496,1.0422208514521385,204441,1.1928820311280175,2.9,0.6304347826086957,1.4177227
1968,53043,"Lincoln, WA",203878.75960061446,1.0584421867440736,10939,1.1988127573511318,5.0,0.9090909090909092,1.4170771
279,12017,"Citrus, FL",161169.2929361046,1.0479888518528893,149657,1.2327754914760622,5.1,0.75,1.4165568
598,18063,"Hendricks, IN",216888.5815991732,1.0619481717962789,170311,1.2258477893609132,2.6,0.7647058823529412,1.4164648
1828,48231,"Hunt, TX",233555.99643604684,1.0728984166712008,98594,1.0714156348174886,3.6,0.8372093023255814,1.4158862
1344,37101,"Johnston, NC",193626.91609471926,1.0969173613913008,209339,1.3585274547255604,3.6,0.7659574468085106,1.4148057
1958,53017,"Douglas, WA",302923.2608254981,1.0498718754532708,43429,1.0739322367252515,5.6,0.8235294117647058,1.4140286
255,8119,"Teller, CO",377361.0312599875,1.0552830659240169,25388,1.2606078212236853,3.0,0.8571428571428571,1.4136415
1382,37179,"Union, NC",266066.5361040441,1.0600144069931368,239859,1.1764205548879334,3.4,0.7727272727272726,1.4136128
365,13057,"Cherokee, GA",309526.43698163034,1.0702165057176534,258773,1.2040376670094697,2.8,0.6511627906976744,1.4135233
1191,32005,"Douglas, NV",409115.604041709,1.0223899318476397,48905,1.1312444258280172,3.9,0.6842105263157895,1.4126303
322,12103,"Pinellas, FL",235063.3850867259,1.0157541510656607,974996,1.1499102160574453,3.2,0.7272727272727273,1.4118443
1669,45045,"Greenville, SC",203702.9735940749,1.0489259139048168,523542,1.1794088109562806,2.4,0.5853658536585367,1.4109706
1983,53077,"Yakima, WA",210739.70456051195,1.0062006922635736,250873,1.1895351376583336,7.0,0.945945945945946,1.4105301
159,6019,"Fresno, CA",244852.2913019361,1.022799258827022,999101,1.1762161190991869,7.4,0.7789473684210527,1.4102958
1833,48257,"Kaufman, TX",235158.76416421536,1.15478694531144,136154,1.208646520107972,3.2,0.8421052631578948,1.4097044
394,13115,"Floyd, GA",123309.942538916,1.0186146559391094,98498,1.0546345531065642,4.0,0.6557377049180328,1.4096786
1193,32029,"Storey, NV",379857.23250629037,1.0343702960361263,4123,2.2899236533180822,3.7,0.578125,1.4082294
1865,48493,"Wilson, TX",162961.86678784352,1.0592798473409109,51070,1.3421162541311042,2.8,0.7179487179487181,1.4077934
