fips,  Construction_growth,"  Finance, insurance, real estate, rental, and leasing_growth",  Manufacturing_growth,"  Mining, quarrying, and oil and gas extraction_growth",  Retail trade_growth, Private industries_growth,All industry total_growth,Government and government enterprises_growth,population_growth,labor_force_growth,employed_growth,unemployed_growth,unemployment_rate_growth,zhvi_weighted_growth,county,Census Population 2010,zhvi_weighted, Private industries,All industry total,Government and government enterprises,population,labor_force,employed,unemployed,unemployment_rate,  Construction_0_yoy__growth,"  Finance, insurance, real estate, rental, and leasing_0_yoy__growth",  Manufacturing_0_yoy__growth,"  Mining, quarrying, and oil and gas extraction_0_yoy__growth",  Retail trade_0_yoy__growth, Private industries_0_yoy__growth,All industry total_0_yoy__growth,Government and government enterprises_0_yoy__growth,population_0_yoy__growth,labor_force_0_yoy__growth,employed_0_yoy__growth,unemployed_0_yoy__growth,unemployment_rate_0_yoy__growth,zhvi_weighted_0_yoy__growth,  Construction_1_yoy__growth,"  Finance, insurance, real estate, rental, and leasing_1_yoy__growth",  Manufacturing_1_yoy__growth,"  Mining, quarrying, and oil and gas extraction_1_yoy__growth",  Retail trade_1_yoy__growth, Private industries_1_yoy__growth,All industry total_1_yoy__growth,Government and government enterprises_1_yoy__growth,population_1_yoy__growth,labor_force_1_yoy__growth,employed_1_yoy__growth,unemployed_1_yoy__growth,unemployment_rate_1_yoy__growth,zhvi_weighted_1_yoy__growth,  Construction_2_yoy__growth,"  Finance, insurance, real estate, rental, and leasing_2_yoy__growth",  Manufacturing_2_yoy__growth,"  Mining, quarrying, and oil and gas extraction_2_yoy__growth",  Retail trade_2_yoy__growth, Private industries_2_yoy__growth,All industry total_2_yoy__growth,Government and government enterprises_2_yoy__growth,population_2_yoy__growth,labor_force_2_yoy__growth,employed_2_yoy__growth,unemployed_2_yoy__growth,unemployment_rate_2_yoy__growth,zhvi_weighted_2_yoy__growth
1001,1.2019366978878152,1.0440184089881264,1.0223336648096863,1.631785442407917,1.0788707268057303,1.017976656719388,1.0122658027601115,0.9785839441872428,1.0113317524392231,1.0222092570984054,1.0477966796474687,0.5475285171102662,0.5294117647058825,1.0825746902163773,"Autauga, AL",108787.0,144305.09343028118,1493782.0,1737286.0,243503.0,55869,26281.0,25561.0,720.0,2.7,1.095653849860268,0.9784627658911379,0.9755756606918132,1.0429282533028932,0.997297887981562,0.999232739481273,0.998845508579918,0.9964724899228613,1.006050456485333,1.0076684176220236,1.0167462211614957,0.7651434643995749,0.75,1.038743227264297,1.069771757283355,1.04373980777905,1.0434285754845212,1.5754127358490566,1.0401975778117638,1.0574449784186097,1.0505076494712111,1.0099730525062822,1.0025816934464704,1.0070661827168121,1.011344436398745,0.9048076923076923,0.9,1.0256361437954418,1.0254561600101486,1.022284097862039,1.0043127568496202,0.9931486795104526,1.039988823333441,0.9634149582629993,0.9647105437192459,0.9723508230452675,1.0026609706207121,1.00731232983275,1.018979299036688,0.7908745247148289,0.7843137254901962,1.0161465502713363
1003,1.2297968409410602,1.0995440345804877,1.2264660485057068,0.9502523836231072,1.117536126004532,1.1692864359390052,1.1681561906739513,1.1597869272037526,1.0753031054763706,1.0851656307781417,1.114637763027821,0.5640865584685809,0.5185185185185185,1.1960522704747802,"Baldwin, AL",200224.0,198806.91736255394,6370048.0,7223316.0,853268.0,223234,97424.0,94713.0,2711.0,2.8,1.077513800589421,1.0205206711089407,1.039869325135638,1.009172672583239,1.05052589674824,1.0509634226238547,1.0505244829996419,1.0472591416154144,1.024690734662964,1.0274625606412149,1.036530779753762,0.7869375907111756,0.7777777777777777,1.1063749534505538,1.0938948050912216,1.057552494465761,1.1072307334447298,1.0483296909147675,1.0440184619422954,1.069563669127843,1.0682138250285504,1.0582780768806135,1.025098696128853,1.0324702192992008,1.0384230743005205,0.8962018730489074,0.8571428571428571,1.0531466703691583,1.0433618958648756,1.0187998837950432,1.065218330237982,0.8982052720134605,1.0189353508587278,1.040223517422053,1.0409659936356628,1.0464638968290538,1.0236993078068024,1.0229454877586937,1.0355646565927599,0.7998335414065751,0.7777777777777778,1.026500027429981
1005,1.24029941949282,1.1099682300022018,1.1249821947077192,1.2238830055471508,1.0378939697576972,1.0907834980492548,1.0929037291881036,1.105016775281491,0.9565992404867085,1.0201583873290136,1.0705682115737103,0.46695402298850575,0.45238095238095233,1.2637073408283523,"Barbour, AL",20591.0,105324.42159195765,709018.0,834832.0,125815.0,24686,8502.0,8177.0,325.0,3.8,0.9838230839139654,1.0804182422191944,0.9984537661491484,1.0531486495868916,1.035178253443326,1.001334608154809,1.0081744988002121,1.0485457121426787,0.9925217111611451,1.0146795560329396,1.0286828531890804,0.7558139534883721,0.7450980392156863,1.0927994872903966,1.092395261102654,1.0256567274326,1.102426656231741,0.9770873259501721,1.0677505723487641,1.0620818858709673,1.0572155215008254,1.029382747823103,0.9886711452080932,1.009761388286334,1.0191025641025642,0.8634538152610441,0.85,1.0569032786815629,1.1540635502597005,1.001651410776635,1.022040212567797,1.1893696419566313,0.9390052832938605,1.025655068860691,1.025374869414269,1.0237752287937607,0.974850809889173,0.9956803455723542,1.021209740769835,0.7155172413793104,0.7142857142857143,1.094134671922837
1007,1.0361705801104972,1.150783076839415,1.5909523029011639,0.31290584415584416,1.024845183914049,1.2162281794693561,1.1830278398493748,1.0707140163698068,0.99149915877092,1.0117109731818714,1.0482093663911847,0.484629294755877,0.47692307692307695,1.114826684577665,"Bibb, AL",58454.0,175794.76971635816,370935.0,467477.0,96542.0,22394,8639.0,8371.0,268.0,3.1,1.2228410364383469,1.1159347685655148,1.3718517680979168,0.10379644588045234,1.0094062316284538,1.1125524505937152,1.1012881582729068,1.0600507285364489,1.0012071355121384,1.0081689812113432,1.0172560456920647,0.788235294117647,0.775,1.0439352274624227,1.0191389215754136,1.017942455311611,1.1677119091629258,1.3745373797187268,0.9898887029897432,1.0651398157939294,1.051252269141899,1.0033602150537635,0.9918847006651885,1.0049255306672922,1.0106853352984524,0.8831168831168831,0.8888888888888888,1.047467446597123,0.8314341620626151,1.0130512806569145,0.9931486641534175,2.1931818181818183,1.0256658956949936,1.0263321835613204,1.0218497645215903,1.0066765743184793,0.9984060922695475,0.9985946832181755,1.019534184823441,0.6962025316455697,0.6923076923076923,1.0195141731720423
1009,1.0391819636958077,1.1650173843273604,1.1302144783414798,1.4908829174664107,1.0737726039440376,1.1153868885220621,1.1136725422870073,1.1052960590437653,1.005774515601628,1.0334700574241182,1.0630935345388317,0.5155420773313116,0.5,1.1367200380934468,"Blount, AL",140642.0,166803.48572972513,811512.0,975948.0,164436.0,57826,25196.0,24516.0,680.0,2.7,1.0883102987070887,1.1126384152196434,1.0058972435777236,1.0183546378236643,1.0224730453357966,0.9840337876919383,0.9951768062503696,1.05408368002359,1.0009520347579235,1.0094551282051283,1.0178526945113344,0.7780320366132724,0.7714285714285715,1.0604553903243281,0.8512980112342493,1.0377833629500182,1.1024175460718753,1.3060787671232876,1.0267951092997407,1.0404389964497758,1.0388615169815878,1.0306011217768734,0.9997231211172063,1.0123296560674886,1.0192543692607168,0.8526829268292683,0.8333333333333333,1.0370070007780716,1.1216496951946326,1.0089546620704684,1.0192040283161976,1.1209213051823417,1.0227668894850923,1.0894289276088192,1.0772080932704806,1.0174496373621202,1.0050961839496295,1.0113207547169811,1.0247170547677897,0.77710386656558,0.7777777777777778,1.033664077141802
1011,,1.1652761032071377,,,1.0920863309352518,1.196616823135451,1.169169461466121,1.0618437144182515,0.972278371354317,1.0,1.0338792910029169,0.5396341463414634,0.5362318840579711,1.2175104396003413,"Bullock, AL",34663.0,253656.8270490148,221909.0,272268.0,50359.0,10101,4785.0,4608.0,177.0,3.7,,1.11484335348129,,,1.0332555425904317,1.0998062159576947,1.0879709733749445,1.0386939752078048,0.9928248476508748,1.0031446540880504,1.0129698834908771,0.8009049773755657,0.8043478260869567,1.0962090982877175,,1.0095020727560668,1.070620933611269,,1.055852156057495,1.0492729957981446,1.047982579199732,1.0426675842491235,0.9998034591194969,0.9896265560165975,0.9940996503496503,0.9057377049180327,0.9019607843137255,1.032301155512691,,1.0353990836749458,1.0439169139465876,,1.0010277492291881,1.0369323849940955,1.0254301700927115,0.98045375954118,0.979497545480797,1.0073145245559039,1.0266995737042854,0.7439024390243902,0.7391304347826086,1.075902404269103
1013,1.0392257271609995,1.1349499156996925,1.3427207743525411,,1.0695483870967741,1.1164539392859487,1.1061344610511465,1.0251390892231609,0.9718169098540875,1.006143045195261,1.041018387553041,0.5379746835443038,0.5362318840579711,1.065819722338141,"Butler, AL",11311.0,68896.18327292017,595243.0,664893.0,69650.0,19448,9172.0,8832.0,340.0,3.7,0.9841901066925315,1.1186959284422504,1.0283566986162749,,1.0337774636762351,1.0058212430592872,1.0071648971541878,1.018796167629635,0.9906780092710509,1.0265249020705092,1.037593984962406,0.8037825059101655,0.7872340425531915,1.0500818323261611,1.1166468103541645,1.0126713854378062,1.0699179475326477,,1.0348469530426552,1.0574959526251648,1.0522236283826216,1.0086755093910913,0.987077634754626,1.0016816143497758,1.011887779362815,0.8326771653543307,0.8245614035087719,1.011758367399647,0.9456165505940188,1.0018347713974016,1.2203698067830075,,0.9997634408602151,1.0496422241186898,1.0437567376924817,0.9975714580083012,0.9938037177693384,0.9784993418165863,0.9915134370579916,0.8037974683544303,0.8260869565217391,1.0031914055165017
1015,1.2907455926691507,1.1117700087984748,1.222962485703288,1.4330113397732045,1.0758796239519741,1.1015284790605222,1.1148230565659392,1.1534889284215761,0.9881015542779609,1.0139053905390538,1.0463856840122439,0.5510067114093959,0.5454545454545455,1.1108076723732678,"Calhoun, AL",70461.0,120439.07378549836,3374896.0,4590003.0,1215106.0,113605,46082.0,44440.0,1642.0,3.6,1.1008725141208044,1.0768342509330762,1.0289524331326714,1.09184,1.0249858229391968,1.0304604330693035,1.0426294324783172,1.077986160397445,0.9936500161810883,0.9993927564519627,1.0104363247766082,0.7712541099107563,0.782608695652174,1.050036297722551,1.197625003362113,1.054423251245219,1.0759325776461126,1.0746217331499313,1.0504103832039224,1.0469594026533822,1.0436027877868386,1.0339709732279305,0.9966960160404499,1.0099439285088487,1.015164804727172,0.9129502572898799,0.9019607843137255,1.0309627848406764,0.9790001711584796,0.9791542640130013,1.104670558223662,1.2213355732885343,0.9992791316078357,1.0210207485402258,1.0245678666915377,1.034884537761838,0.9977125064145494,1.0045324532453246,1.0201083117494703,0.7825503355704698,0.7727272727272727,1.0261044477155261
1017,1.2431747269890796,1.1467507751254065,0.8891991362417635,0.0,1.0701507930862793,1.014004039383994,1.0348554210200227,1.1625117846158601,0.9854496962512965,1.0599676941714902,1.088507547707206,0.5675675675675675,0.5272727272727272,1.1302178647441266,"Chambers, AL",24844.0,157579.5409756883,803294.0,953730.0,150436.0,33254,15749.0,15287.0,462.0,2.9,1.078011386054901,1.0955772565263462,1.0434219011575265,,1.0191360010838089,1.0479410863028262,1.0518601357879274,1.0732932371595927,0.989702380952381,1.0293464052287582,1.039578374702482,0.7764705882352941,0.7435897435897436,1.0533656663736557,0.8273176646148107,1.0304041688637986,1.0186285536081003,,1.0219618566335538,1.0329082914826788,1.0346024512113996,1.0439669298376284,0.9968255851900198,1.0093679905000659,1.0126713036292265,0.9340659340659341,0.9285714285714285,0.9891542574237189,1.3939157566302651,1.0158239015905826,0.8366103595476927,0.0,1.0274912867202504,0.9367874274173189,0.9509291921610838,1.0375098527116209,0.9988739072455178,1.0201911428186836,1.033964682426659,0.7825552825552825,0.7636363636363637,1.0847233383796264
1019,1.0753798371526904,1.1184915487584388,1.1240630140313304,,1.0344612411683005,1.1570714000945697,1.147357084821634,1.1009942380641664,1.0166097485253027,1.0431456276132016,1.0670040296129697,0.5964912280701754,0.5686274509803921,1.1461451510059073,"Cherokee, AL",81391.0,92036.31349903552,499193.0,598746.0,99553.0,26196,11726.0,11386.0,340.0,2.9,1.0351486748545573,1.1142866585694338,1.011393209766176,,1.0348987071569535,1.0080776586098754,1.0126045801320158,1.0359313215400625,1.0069962327977242,1.0076480192489474,1.0146141507752628,0.8192771084337349,0.8055555555555555,1.0577303351451683,1.0398252394555536,0.9953370176650548,1.0271599395992328,,1.0170192721240296,1.0914595171237256,1.0820465616753712,1.0360180683276017,1.008099205580314,1.0290034485807764,1.0358131807273399,0.8736842105263158,0.8571428571428571,1.0483849523435467,0.9990766389658357,1.0084761225471495,1.082013181281256,,0.9828498963344673,1.0516192736679122,1.0471593260872898,1.0258568252950089,1.0014358894753181,1.0060492838715416,1.0152750445131666,0.8333333333333334,0.823529411764706,1.0335794898789876
